fullpolicy_nb,customerid,year,policyeffective_dt,accounting_month,insureditem_tp,policyratedstate_tp,ratedcounty_tp,zip,hazard_score,integratedcoverage_tp,propertycoveragesubtype_tp,construction_tp,roof_tp,dwellingsquarefeet_ct,dwellingstory_ct,home_age_yr,has_mortgage,ratedinsuredage_ct,meritpoint_ct,creditmodel_cd,agent_channel,directwrittenpremium_am,earnedpremium_am,tax_am,commission_expense_am,admin_expense_am,ppcvrglimit_am,grosslosspaio_am,claimcount_ct,earnedexposure_ct,writenexposure_ct,policyterm_ct,seasonal_in,multiproductdiscount_flag,delequencyflag,discountrate,new_existing_recurring_flag,netloss_paid_am,policy_renewed_flag,customertenure,incomebracket,coverageamount,deductible,customersatisfaction,complaintcount,paymentmethod,paymentdelaydays,marketingchannel,agentexperienceyears,propertyvalue,householdincome,creditscore,tenure_months,recency,frequency,monetary,average_order_value,claim_rate,complaint_rate,renewal_ratio,premium_efficiency,monetary_per_tenure,engagement_score,tenure_band,expected_claims,service_expense_am,discount_rate,projection_years,retention_probability,annual_profit,pnc_clv,clv_formula_value,profit,clv,high_value_flag
500011,CUST000011,2021,2021-04-10,2021-05-31,Home,TX,D,73301,40.22,Y,Standard,Frame,Shingle,1360,1,34,1,29,0,C,Broker,1043.4,1012.19,73.04,156.51,118.95,211832,0.0,0,0.956,1.0,12,0,0,1,0.0661,New,0.0,0,1,Middle,211832,500,3,0,Debit Card,7,Agent Referral,6,206473,81288,671,1,7,12,1043.4,86.95,0.0,0.0,0.0,1.0,1043.4,-2.34324710768634,new,0.0,52.17,0.1,5,0.6786770504115591,761.6800000000002,1117.2407960704518,1117.2407960704518,761.6800000000002,1117.2407960704518,0
500012,CUST000012,2021,2021-12-05,2022-01-31,Home,WA,A,98501,29.46,N,Standard,Frame,Metal,1942,2,26,0,53,0,B,Direct,1451.36,1269.3,101.59,43.54,137.31,561689,0.0,0,0.862,1.0,12,0,1,0,0.12,New,0.0,1,1,High,561689,1000,4,1,Bank Transfer,2,Email Campaign,4,648670,166966,686,1,2,12,1451.36,120.94666666666666,0.0,0.08333333333333333,0.08333333333333333,1.0,1451.36,-0.047749891766386554,new,0.0,72.57,0.1,5,0.8082104411791431,1233.66,2685.3814652955616,2685.3814652955616,1233.66,2685.3814652955616,0
500013,CUST000013,2021,2021-08-05,2021-08-31,Condo,CA,C,94105,50.13,Y,Premium,Mixed,Metal,1283,1,39,1,24,0,B,Broker,2985.15,2878.06,208.96,447.77,206.33,602289,9787.59,1,1.002,1.0,12,1,0,0,0.0429,New,8867.59,1,1,Middle,602289,1000,3,1,Auto Debit,1,Online Search,10,545232,87752,701,1,1,12,2985.15,248.76250000000002,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,2985.15,0.33739571791036516,new,8867.59,149.26,0.1,5,0.5537637829070226,-6688.43,-6561.357918368911,-6561.357918368911,-6688.43,-6561.357918368911,0
500014,CUST000014,2021,2021-03-20,2021-06-30,Home,FL,A,33101,41.6,Y,Standard,Masonry,Tile,2898,3,13,0,62,0,C,Independent,3917.46,4102.75,332.98,470.09,248.29,636871,0.0,0,1.047,1.0,12,0,0,0,0.0923,New,0.0,1,1,Middle,636871,2000,5,0,Credit Card,0,Email Campaign,4,648931,58070,664,1,0,12,3917.46,326.455,0.0,0.0,0.08333333333333333,1.0,3917.46,2.1166737889558784,new,0.0,195.87,0.1,5,0.8475550930604134,2918.52,7137.627566178071,7137.627566178071,2918.52,7137.627566178071,1
500015,CUST000015,2021,2021-07-05,2021-12-31,Home,CA,A,95814,67.98,N,Premium,Frame,Shingle,2260,2,32,1,24,0,D,Broker,5941.5,5711.38,415.91,891.23,339.37,794242,58003.49,2,0.971,1.0,12,1,0,1,0.0641,New,56163.49,1,1,Middle,794242,1000,2,2,Bank Transfer,16,Aggregator,9,869928,60105,569,1,16,12,5941.5,495.125,0.16666666666666666,0.16666666666666666,0.08333333333333333,1.0,5941.5,-6.833920888609672,new,56163.49,297.08,0.1,5,0.7847995034254167,-51826.21000000001,-105185.62203253634,-105185.62203253634,-51826.21000000001,-105185.62203253634,0
500016,CUST000016,2021,2021-05-11,2022-03-31,Home,CA,D,95814,50.85,Y,Standard,Frame,Tile,1244,2,25,1,52,1,D,Online,2986.72,2849.74,209.07,59.73,206.4,476169,16844.3,1,0.918,1.0,12,0,0,0,0.0649,New,15464.3,0,1,Middle,476169,1500,4,1,Auto Debit,0,Social Media,1,467509,60762,609,1,0,12,2986.72,248.89333333333332,0.08333333333333333,0.08333333333333333,0.0,1.0,2986.72,-1.0413603013178399,new,15464.3,149.34,0.1,5,0.4738178435895008,-12895.72,-9613.205196503543,-9613.205196503543,-12895.72,-9613.205196503543,0
500017,CUST000017,2021,2021-01-19,2021-11-30,Rental,CA,C,92101,67.17,Y,Basic,Frame,Shingle,2827,1,20,1,70,1,D,Online,7391.08,7303.28,517.38,147.82,404.6,914552,0.0,0,1.018,1.0,12,0,0,0,0.0839,New,0.0,1,1,Middle,914552,500,4,0,Debit Card,6,Partner Referral,10,1119146,58294,525,1,6,12,7391.08,615.9233333333333,0.0,0.0,0.08333333333333333,1.0,7391.08,-0.19419986910463183,new,0.0,369.55,0.1,5,0.8680850235158507,6356.33,16509.86802996144,16509.86802996144,6356.33,16509.86802996144,1
500018,CUST000018,2021,2021-08-22,2021-09-30,Home,WA,A,98101,34.14,N,Basic,Frame,Shingle,2173,1,38,0,60,1,D,Online,2182.25,2117.9,152.76,43.65,170.2,450777,0.0,0,0.979,1.0,12,1,1,0,0.135,New,0.0,1,1,Middle,450777,2000,4,0,Auto Debit,0,Agent Referral,6,689738,81151,545,1,0,12,2182.25,181.85416666666666,0.0,0.0,0.08333333333333333,1.0,2182.25,2.1166737889558784,new,0.0,109.11,0.1,5,0.8410742524269016,1876.73,4503.027880402969,4503.027880402969,1876.73,4503.027880402969,0
500019,CUST000019,2021,2021-11-27,2021-11-30,Home,CA,C,92101,64.9,Y,Basic,Frame,Shingle,2901,1,16,1,45,0,B,Independent,5910.71,5754.03,413.75,709.28,337.98,1016341,0.0,0,0.949,1.0,12,0,0,0,0.0676,New,0.0,1,1,Upper Middle,1016341,1500,4,0,Auto Debit,1,Agent Referral,7,1269885,97895,699,1,1,12,5910.71,492.55916666666667,0.0,0.0,0.08333333333333333,1.0,5910.71,1.7315281792791266,new,0.0,295.54,0.1,5,0.89469397221614,4492.14,12607.661801982938,12607.661801982938,4492.14,12607.661801982938,1
500020,CUST000020,2021,2021-06-06,2021-12-31,Condo,TX,A,77001,42.62,N,Standard,Frame,Metal,1269,1,44,0,48,0,A,Independent,485.36,472.29,33.98,58.24,93.84,140847,0.0,0,0.961,1.0,12,1,1,0,0.1287,New,0.0,0,1,Upper Middle,140847,5000,4,0,Bank Transfer,3,Social Media,12,178097,94605,742,1,3,12,485.36,40.446666666666665,0.0,0.0,0.0,1.0,485.36,-0.8026646689793335,new,0.0,24.27,0.1,5,0.5618382298863323,368.87,371.71202749867194,371.71202749867194,368.87,371.71202749867194,0
500021,CUST000021,2021,2021-01-15,2021-01-31,Rental,FL,B,33101,40.6,N,Standard,Mixed,Tile,1889,1,26,1,41,0,C,Broker,2371.92,2273.41,201.61,355.79,178.74,361853,0.0,0,0.974,1.0,12,0,1,0,0.0913,New,0.0,1,1,Middle,361853,1000,4,0,Credit Card,3,Social Media,12,420572,81903,644,1,3,12,2371.92,197.66,0.0,0.0,0.08333333333333333,1.0,2371.92,0.9612369599256232,new,0.0,118.6,0.1,5,0.8378051355760192,1695.92,4030.147361856777,4030.147361856777,1695.92,4030.147361856777,0
500022,CUST000022,2021,2021-07-01,2021-07-31,Home,FL,B,33101,50.87,Y,Premium,Masonry,Shingle,1840,2,34,0,65,0,B,Direct,3153.89,2741.35,268.08,94.62,213.93,460680,29505.92,1,0.867,1.0,12,1,1,0,0.1201,New,28585.92,0,1,Upper Middle,460680,1000,3,2,Credit Card,2,Online Search,11,420893,91495,728,1,2,12,3153.89,262.82416666666666,0.08333333333333333,0.16666666666666666,0.0,1.0,3153.89,-3.2057839820401046,new,28585.92,157.69,0.1,5,0.4272175205142799,-25952.42,-16334.187239686034,-16334.187239686034,-25952.42,-16334.187239686034,0
500023,CUST000023,2021,2021-02-11,2021-12-31,Condo,FL,B,33601,63.9,Y,Standard,Frame,Tile,1008,1,28,1,40,2,C,Direct,1797.13,1726.37,152.76,53.91,152.87,208928,0.0,0,0.96,1.0,12,0,0,0,0.0729,New,0.0,0,1,Middle,208928,500,4,0,Credit Card,0,Aggregator,3,222117,53142,646,1,0,12,1797.13,149.76083333333335,0.0,0.0,0.0,1.0,1797.13,0.3527721600509216,new,0.0,89.86,0.1,5,0.5626869823062352,1500.6000000000001,1516.4244285211269,1516.4244285211269,1500.6000000000001,1516.4244285211269,0
500024,CUST000024,2021,2021-01-22,2021-02-28,Home,CA,D,94105,36.85,N,Standard,Frame,Shingle,2107,3,7,0,63,1,A,Online,2935.3,2906.51,205.47,58.71,204.09,748887,0.0,0,1.027,1.0,12,0,0,0,0.1007,New,0.0,1,1,High,748887,5000,5,0,Credit Card,1,Agent Referral,7,883078,175146,808,1,1,12,2935.3,244.60833333333335,0.0,0.0,0.08333333333333333,1.0,2935.3,1.7315281792791266,new,0.0,146.77,0.1,5,0.8866836270250792,2524.3500000000004,6921.994183785658,6921.994183785658,2524.3500000000004,6921.994183785658,1
500025,CUST000025,2021,2021-12-18,2022-08-31,Home,TX,C,78701,33.2,N,Basic,Mixed,Tile,2371,3,23,0,66,0,B,Direct,821.7,801.57,57.52,24.65,108.98,234925,0.0,0,0.986,1.0,12,0,0,0,0.0621,New,0.0,1,1,Middle,234925,1000,5,0,Credit Card,0,Email Campaign,6,334928,73301,709,1,0,12,821.7,68.47500000000001,0.0,0.0,0.08333333333333333,1.0,821.7,2.1166737889558784,new,0.0,41.09,0.1,5,0.8424835348994815,698.44,1682.8124235386,1682.8124235386,698.44,1682.8124235386,0
500026,CUST000026,2021,2021-11-11,2021-11-30,Condo,WA,B,98004,26.55,N,Standard,Masonry,Shingle,1336,1,47,1,44,1,B,Online,1057.03,1003.91,73.99,21.14,119.57,326738,0.0,0,0.949,1.0,12,0,1,0,0.1511,New,0.0,1,1,Upper Middle,326738,2500,5,0,Bank Transfer,4,Agent Referral,8,392462,133311,714,1,4,12,1057.03,88.08583333333333,0.0,0.0,0.08333333333333333,1.0,1057.03,0.5760913502488715,new,0.0,52.85,0.1,5,0.8786129137742905,909.05,2434.831304164417,2434.831304164417,909.05,2434.831304164417,0
500027,CUST000027,2021,2021-05-12,2022-01-31,Home,CA,B,92101,39.2,N,Premium,Masonry,Tile,1432,2,21,0,55,0,D,Online,3050.17,3095.53,213.51,61.0,209.26,522572,27921.83,2,1.003,1.0,12,0,0,1,0.0982,New,23321.83,1,1,Middle,522572,2500,2,1,Bank Transfer,8,Online Search,8,558746,80418,590,1,8,12,3050.17,254.18083333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.0,3050.17,-2.3586235498268966,new,23321.83,152.51,0.1,5,0.4590350264162055,-20698.68,-14636.022348937206,-14636.022348937206,-20698.68,-14636.022348937206,0
500028,CUST000028,2021,2021-02-02,2021-09-30,Home,TX,D,78701,42.55,N,Basic,Mixed,Shingle,1610,3,28,1,48,0,C,Broker,888.63,805.56,62.2,133.29,111.99,180685,0.0,0,0.92,1.0,12,0,0,0,0.0449,New,0.0,1,1,Middle,180685,1000,5,0,Debit Card,0,Agent Referral,8,260802,88729,666,1,0,12,888.63,74.0525,0.0,0.0,0.08333333333333333,1.0,888.63,2.1166737889558784,new,0.0,44.43,0.1,5,0.8593013914977747,648.71,1642.1833057560812,1642.1833057560812,648.71,1642.1833057560812,0
500029,CUST000029,2021,2021-06-23,2021-06-30,Rental,WA,D,98004,17.17,N,Standard,Masonry,Tile,1617,1,31,1,44,0,C,Broker,1591.58,1508.68,111.41,238.74,143.62,426129,0.0,0,0.94,1.0,12,1,0,1,0.0439,New,0.0,0,1,Middle,426129,1000,4,1,Auto Debit,3,Social Media,4,497954,86897,637,1,3,12,1591.58,132.63166666666666,0.0,0.08333333333333333,0.0,1.0,1591.58,-2.196797130348095,new,0.0,79.58,0.1,5,0.7548067294765701,1161.85,2154.034623196042,2154.034623196042,1161.85,2154.034623196042,0
500030,CUST000030,2021,2021-02-15,2021-12-31,Condo,CA,D,95814,41.91,Y,Basic,Masonry,Tile,1758,1,48,1,46,0,B,Online,2423.64,2251.51,169.65,48.47,181.06,525155,0.0,0,0.931,1.0,12,0,0,0,0.1018,New,0.0,1,1,Low,525155,2000,5,0,Credit Card,3,Agent Referral,2,693766,48213,686,1,3,12,2423.64,201.97,0.0,0.0,0.08333333333333333,1.0,2423.64,0.9612369599256232,new,0.0,121.18,0.1,5,0.86640200562413,2084.34,5387.2674897175275,5387.2674897175275,2084.34,5387.2674897175275,1
500031,CUST000031,2021,2021-12-15,2022-03-31,Home,CA,C,90001,45.01,Y,Basic,Masonry,Tile,1104,2,37,1,52,0,D,Direct,1977.74,1919.31,138.44,59.33,161.0,334069,0.0,0,1.007,1.0,12,0,1,1,0.1531,New,0.0,0,1,Low,334069,2000,4,1,Credit Card,11,Social Media,9,433664,37512,584,1,11,12,1977.74,164.81166666666667,0.0,0.08333333333333333,0.0,1.0,1977.74,-5.277962007762109,new,0.0,98.89,0.1,5,0.7799887641032156,1681.08,3362.932972649178,3362.932972649178,1681.08,3362.932972649178,0
500032,CUST000032,2021,2021-01-20,2021-01-31,Home,TX,A,77001,25.27,N,Standard,Masonry,Tile,2088,2,24,0,36,0,B,Broker,876.14,889.36,61.33,131.42,111.43,280366,0.0,0,0.997,1.0,12,0,0,0,0.0821,New,0.0,1,1,High,280366,2000,4,1,Credit Card,3,Aggregator,4,353254,154541,698,1,3,12,876.14,73.01166666666667,0.0,0.08333333333333333,0.08333333333333333,1.0,876.14,-0.43289550144313826,new,0.0,43.81,0.1,5,0.8053869600322449,639.5799999999999,1380.5462589799006,1380.5462589799006,639.5799999999999,1380.5462589799006,0
500033,CUST000033,2021,2021-01-13,2021-04-30,Rental,TX,A,77001,48.65,N,Standard,Masonry,Shingle,1189,2,19,1,47,0,C,Broker,715.38,650.2,50.08,107.31,104.19,146837,16685.4,1,0.462,0.5,6,0,0,0,0.0953,New,14845.4,1,1,Middle,146837,2000,3,1,Credit Card,4,Agent Referral,6,177123,64975,633,1,4,6,715.38,119.23,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,715.38,-3.5710769926748833,new,14845.4,35.77,0.1,5,0.6929431250097723,-14323.18,-21963.872192423976,-21963.872192423976,-14323.18,-21963.872192423976,0
500034,CUST000034,2021,2021-02-05,2021-06-30,Condo,FL,B,33301,51.82,Y,Premium,Mixed,Metal,1042,1,53,1,68,1,C,Broker,1914.16,1977.5,162.7,287.12,158.14,249105,0.0,0,1.038,1.0,12,0,0,0,0.0423,New,0.0,1,1,Low,249105,1500,4,0,Bank Transfer,3,Agent Referral,12,235538,29492,645,1,3,12,1914.16,159.51333333333335,0.0,0.0,0.08333333333333333,1.0,1914.16,0.9612369599256232,new,0.0,95.71,0.1,5,0.8468836591488518,1368.63,3340.5605238278986,3340.5605238278986,1368.63,3340.5605238278986,0
500035,CUST000035,2021,2021-01-25,2021-04-30,Home,NY,B,11201,29.86,N,Basic,Mixed,Tile,1403,2,33,1,59,1,D,Independent,2605.39,2373.09,182.38,312.65,189.24,585242,0.0,0,0.927,1.0,12,0,0,1,0.0588,New,0.0,1,1,Middle,585242,1500,4,0,Debit Card,5,Agent Referral,12,822575,53005,614,1,5,12,2605.39,217.1158333333333,0.0,0.0,0.08333333333333333,1.0,2605.39,0.19094574057211977,new,0.0,130.27,0.1,5,0.8030929359003768,1980.0899999999997,4244.918888354339,4244.918888354339,1980.0899999999997,4244.918888354339,0
500036,CUST000036,2021,2021-07-20,2021-07-31,Home,FL,A,33101,51.24,N,Standard,Masonry,Metal,1625,3,42,1,46,0,C,Independent,1834.82,1955.55,155.96,220.18,154.57,258528,0.0,0,1.05,1.0,12,1,0,0,0.0657,New,0.0,0,1,Low,258528,1000,4,0,Auto Debit,1,Online Search,14,304792,47178,657,1,1,12,1834.82,152.90166666666667,0.0,0.0,0.0,1.0,1834.82,-0.03237344962583011,new,0.0,91.74,0.1,5,0.7748600643670912,1366.9399999999998,2692.625925562591,2692.625925562591,1366.9399999999998,2692.625925562591,0
500037,CUST000037,2021,2021-12-23,2022-09-30,Home,TX,C,78701,35.36,Y,Premium,Mixed,Shingle,2095,2,12,1,57,0,B,Online,1137.17,1093.08,79.6,22.74,123.17,346894,22425.02,1,0.939,1.0,12,0,1,0,0.1588,New,20585.02,0,1,Low,346894,2000,4,0,Credit Card,1,Partner Referral,6,342108,47601,719,1,1,12,1137.17,94.76416666666667,0.08333333333333333,0.0,0.0,1.0,1137.17,-0.03237344962583011,new,20585.02,56.86,0.1,5,0.506640938965565,-19607.05,-16394.519993566933,-16394.519993566933,-19607.05,-16394.519993566933,0
500038,CUST000038,2021,2021-06-08,2021-07-31,Home,CA,A,95814,57.02,Y,Basic,Masonry,Shingle,2656,2,50,0,61,0,B,Independent,4981.7,4526.09,348.72,597.8,296.18,915155,16559.86,1,0.946,1.0,12,1,1,0,0.0855,New,15179.86,0,1,Middle,915155,1500,4,0,Credit Card,2,Online Search,10,1147321,85982,688,1,2,12,4981.7,415.14166666666665,0.08333333333333333,0.0,0.0,1.0,4981.7,-0.4175190593025818,new,15179.86,249.08,0.1,5,0.4076742398427644,-11393.759999999998,-6662.275423304375,-6662.275423304375,-11393.759999999998,-6662.275423304375,0
500039,CUST000039,2021,2021-11-26,2022-09-30,Rental,FL,C,33101,45.13,Y,Standard,Masonry,Metal,1855,2,9,1,41,1,D,Online,3707.43,3521.5,315.13,74.15,238.83,439910,0.0,0,0.966,1.0,12,0,1,1,0.1046,New,0.0,0,1,Middle,439910,500,4,2,Auto Debit,2,Aggregator,5,452243,51053,577,1,2,12,3707.43,308.9525,0.0,0.16666666666666666,0.0,1.0,3707.43,-3.2057839820401046,new,0.0,185.37,0.1,5,0.5976220159619776,3132.7799999999997,3550.313763889554,3550.313763889554,3132.7799999999997,3550.313763889554,0
500040,CUST000040,2021,2021-01-08,2021-02-28,Condo,FL,A,33101,60.19,Y,Basic,Frame,Shingle,1621,1,39,1,41,1,D,Independent,2710.85,2481.76,230.42,325.3,193.99,271164,6628.03,1,0.914,1.0,12,0,0,1,0.0689,New,5708.03,0,1,Low,271164,1000,2,2,Bank Transfer,12,Partner Referral,8,354300,34654,520,1,12,12,2710.85,225.90416666666667,0.08333333333333333,0.16666666666666666,0.0,1.0,2710.85,-7.057240078807622,new,5708.03,135.54,0.1,5,0.35,-3688.44,-1715.6585959959882,-1715.6585959959882,-3688.44,-1715.6585959959882,0
500041,CUST000041,2021,2021-07-13,2022-02-28,Home,WA,C,99201,35.34,Y,Basic,Frame,Shingle,2525,1,17,0,81,0,C,Independent,3072.81,2841.29,215.1,368.74,210.28,728752,0.0,0,0.947,1.0,12,1,0,0,0.0509,New,0.0,1,1,Middle,728752,1000,3,2,Credit Card,1,Online Search,13,916883,51419,640,1,1,12,3072.81,256.0675,0.0,0.16666666666666666,0.08333333333333333,1.0,3072.81,-1.056736743458396,new,0.0,153.64,0.1,5,0.6779299028105468,2335.3300000000004,3417.5019949668913,3417.5019949668913,2335.3300000000004,3417.5019949668913,0
500042,CUST000042,2021,2021-06-27,2021-06-30,Condo,CA,A,94105,61.11,N,Standard,Frame,Shingle,1475,1,14,1,47,1,B,Independent,2944.97,2918.81,206.15,353.4,204.52,511777,8733.7,1,0.51,0.5,6,1,0,0,0.0534,New,8273.7,0,1,Upper Middle,511777,500,3,0,Bank Transfer,2,Partner Referral,14,591797,108478,688,1,2,6,2944.97,490.8283333333333,0.16666666666666666,0.0,0.0,1.0,2944.97,-3.540324108393771,new,8273.7,147.25,0.1,5,0.35522064689622024,-6035.530000000001,-2868.5217904242795,-2868.5217904242795,-6035.530000000001,-2868.5217904242795,0
500043,CUST000043,2021,2021-03-09,2021-07-31,Condo,CA,B,92101,41.51,Y,Basic,Masonry,Shingle,1278,1,34,0,60,0,A,Independent,2006.65,1991.05,140.47,240.8,162.3,437657,34006.9,1,0.975,1.0,12,0,0,0,0.0842,New,31706.9,0,1,Upper Middle,437657,2500,4,2,Bank Transfer,5,Partner Referral,8,559485,99120,805,1,5,12,2006.65,167.22083333333333,0.08333333333333333,0.16666666666666666,0.0,1.0,2006.65,-4.36122081107036,new,31706.9,100.33,0.1,5,0.4973308127886062,-30181.850000000002,-24435.955898489497,-24435.955898489497,-30181.850000000002,-24435.955898489497,0
