FULLPOLICY_NB,CustomerID,Year,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG,CustomerTenure,IncomeBracket,CoverageAmount,Deductible,CustomerSatisfaction,ComplaintCount,PaymentMethod,PaymentDelayDays,MarketingChannel,AgentExperienceYears,PropertyValue,HouseholdIncome,CreditScore
500011,CUST000011,2021,2021-04-10,2021-05-31,Home,TX,D,73301,40.22,Y,Standard,Frame,Shingle,1360,1,34,1,29,0,C,Broker,1043.4,1012.19,73.04,156.51,118.95,211832,0.0,0,0.956,1.0,12,0,0,1,0.0661,New,0.0,0,1,Middle,211832,500,3,0,Debit Card,7,Agent Referral,6,206473,81288,671
500012,CUST000012,2021,2021-12-05,2022-01-31,Home,WA,A,98501,29.46,N,Standard,Frame,Metal,1942,2,26,0,53,0,B,Direct,1451.36,1269.3,101.59,43.54,137.31,561689,0.0,0,0.862,1.0,12,0,1,0,0.12,New,0.0,1,1,High,561689,1000,4,1,Bank Transfer,2,Email Campaign,4,648670,166966,686
500013,CUST000013,2021,2021-08-05,2021-08-31,Condo,CA,C,94105,50.13,Y,Premium,Mixed,Metal,1283,1,39,1,24,0,B,Broker,2985.15,2878.06,208.96,447.77,206.33,602289,9787.59,1,1.002,1.0,12,1,0,0,0.0429,New,8867.59,1,1,Middle,602289,1000,3,1,Auto Debit,1,Online Search,10,545232,87752,701
500014,CUST000014,2021,2021-03-20,2021-06-30,Home,FL,A,33101,41.6,Y,Standard,Masonry,Tile,2898,3,13,0,62,0,C,Independent,3917.46,4102.75,332.98,470.09,248.29,636871,0.0,0,1.047,1.0,12,0,0,0,0.0923,New,0.0,1,1,Middle,636871,2000,5,0,Credit Card,0,Email Campaign,4,648931,58070,664
500015,CUST000015,2021,2021-07-05,2021-12-31,Home,CA,A,95814,67.98,N,Premium,Frame,Shingle,2260,2,32,1,24,0,D,Broker,5941.5,5711.38,415.91,891.23,339.37,794242,58003.49,2,0.971,1.0,12,1,0,1,0.0641,New,56163.49,1,1,Middle,794242,1000,2,2,Bank Transfer,16,Aggregator,9,869928,60105,569
500016,CUST000016,2021,2021-05-11,2022-03-31,Home,CA,D,95814,50.85,Y,Standard,Frame,Tile,1244,2,25,1,52,1,D,Online,2986.72,2849.74,209.07,59.73,206.4,476169,16844.3,1,0.918,1.0,12,0,0,0,0.0649,New,15464.3,0,1,Middle,476169,1500,4,1,Auto Debit,0,Social Media,1,467509,60762,609
500017,CUST000017,2021,2021-01-19,2021-11-30,Rental,CA,C,92101,67.17,Y,Basic,Frame,Shingle,2827,1,20,1,70,1,D,Online,7391.08,7303.28,517.38,147.82,404.6,914552,0.0,0,1.018,1.0,12,0,0,0,0.0839,New,0.0,1,1,Middle,914552,500,4,0,Debit Card,6,Partner Referral,10,1119146,58294,525
500018,CUST000018,2021,2021-08-22,2021-09-30,Home,WA,A,98101,34.14,N,Basic,Frame,Shingle,2173,1,38,0,60,1,D,Online,2182.25,2117.9,152.76,43.65,170.2,450777,0.0,0,0.979,1.0,12,1,1,0,0.135,New,0.0,1,1,Middle,450777,2000,4,0,Auto Debit,0,Agent Referral,6,689738,81151,545
500019,CUST000019,2021,2021-11-27,2021-11-30,Home,CA,C,92101,64.9,Y,Basic,Frame,Shingle,2901,1,16,1,45,0,B,Independent,5910.71,5754.03,413.75,709.28,337.98,1016341,0.0,0,0.949,1.0,12,0,0,0,0.0676,New,0.0,1,1,Upper Middle,1016341,1500,4,0,Auto Debit,1,Agent Referral,7,1269885,97895,699
500020,CUST000020,2021,2021-06-06,2021-12-31,Condo,TX,A,77001,42.62,N,Standard,Frame,Metal,1269,1,44,0,48,0,A,Independent,485.36,472.29,33.98,58.24,93.84,140847,0.0,0,0.961,1.0,12,1,1,0,0.1287,New,0.0,0,1,Upper Middle,140847,5000,4,0,Bank Transfer,3,Social Media,12,178097,94605,742
500021,CUST000021,2021,2021-01-15,2021-01-31,Rental,FL,B,33101,40.6,N,Standard,Mixed,Tile,1889,1,26,1,41,0,C,Broker,2371.92,2273.41,201.61,355.79,178.74,361853,0.0,0,0.974,1.0,12,0,1,0,0.0913,New,0.0,1,1,Middle,361853,1000,4,0,Credit Card,3,Social Media,12,420572,81903,644
500022,CUST000022,2021,2021-07-01,2021-07-31,Home,FL,B,33101,50.87,Y,Premium,Masonry,Shingle,1840,2,34,0,65,0,B,Direct,3153.89,2741.35,268.08,94.62,213.93,460680,29505.92,1,0.867,1.0,12,1,1,0,0.1201,New,28585.92,0,1,Upper Middle,460680,1000,3,2,Credit Card,2,Online Search,11,420893,91495,728
500023,CUST000023,2021,2021-02-11,2021-12-31,Condo,FL,B,33601,63.9,Y,Standard,Frame,Tile,1008,1,28,1,40,2,C,Direct,1797.13,1726.37,152.76,53.91,152.87,208928,0.0,0,0.96,1.0,12,0,0,0,0.0729,New,0.0,0,1,Middle,208928,500,4,0,Credit Card,0,Aggregator,3,222117,53142,646
500024,CUST000024,2021,2021-01-22,2021-02-28,Home,CA,D,94105,36.85,N,Standard,Frame,Shingle,2107,3,7,0,63,1,A,Online,2935.3,2906.51,205.47,58.71,204.09,748887,0.0,0,1.027,1.0,12,0,0,0,0.1007,New,0.0,1,1,High,748887,5000,5,0,Credit Card,1,Agent Referral,7,883078,175146,808
500025,CUST000025,2021,2021-12-18,2022-08-31,Home,TX,C,78701,33.2,N,Basic,Mixed,Tile,2371,3,23,0,66,0,B,Direct,821.7,801.57,57.52,24.65,108.98,234925,0.0,0,0.986,1.0,12,0,0,0,0.0621,New,0.0,1,1,Middle,234925,1000,5,0,Credit Card,0,Email Campaign,6,334928,73301,709
500026,CUST000026,2021,2021-11-11,2021-11-30,Condo,WA,B,98004,26.55,N,Standard,Masonry,Shingle,1336,1,47,1,44,1,B,Online,1057.03,1003.91,73.99,21.14,119.57,326738,0.0,0,0.949,1.0,12,0,1,0,0.1511,New,0.0,1,1,Upper Middle,326738,2500,5,0,Bank Transfer,4,Agent Referral,8,392462,133311,714
500027,CUST000027,2021,2021-05-12,2022-01-31,Home,CA,B,92101,39.2,N,Premium,Masonry,Tile,1432,2,21,0,55,0,D,Online,3050.17,3095.53,213.51,61.0,209.26,522572,27921.83,2,1.003,1.0,12,0,0,1,0.0982,New,23321.83,1,1,Middle,522572,2500,2,1,Bank Transfer,8,Online Search,8,558746,80418,590
500028,CUST000028,2021,2021-02-02,2021-09-30,Home,TX,D,78701,42.55,N,Basic,Mixed,Shingle,1610,3,28,1,48,0,C,Broker,888.63,805.56,62.2,133.29,111.99,180685,0.0,0,0.92,1.0,12,0,0,0,0.0449,New,0.0,1,1,Middle,180685,1000,5,0,Debit Card,0,Agent Referral,8,260802,88729,666
500029,CUST000029,2021,2021-06-23,2021-06-30,Rental,WA,D,98004,17.17,N,Standard,Masonry,Tile,1617,1,31,1,44,0,C,Broker,1591.58,1508.68,111.41,238.74,143.62,426129,0.0,0,0.94,1.0,12,1,0,1,0.0439,New,0.0,0,1,Middle,426129,1000,4,1,Auto Debit,3,Social Media,4,497954,86897,637
500030,CUST000030,2021,2021-02-15,2021-12-31,Condo,CA,D,95814,41.91,Y,Basic,Masonry,Tile,1758,1,48,1,46,0,B,Online,2423.64,2251.51,169.65,48.47,181.06,525155,0.0,0,0.931,1.0,12,0,0,0,0.1018,New,0.0,1,1,Low,525155,2000,5,0,Credit Card,3,Agent Referral,2,693766,48213,686
500031,CUST000031,2021,2021-12-15,2022-03-31,Home,CA,C,90001,45.01,Y,Basic,Masonry,Tile,1104,2,37,1,52,0,D,Direct,1977.74,1919.31,138.44,59.33,161.0,334069,0.0,0,1.007,1.0,12,0,1,1,0.1531,New,0.0,0,1,Low,334069,2000,4,1,Credit Card,11,Social Media,9,433664,37512,584
500032,CUST000032,2021,2021-01-20,2021-01-31,Home,TX,A,77001,25.27,N,Standard,Masonry,Tile,2088,2,24,0,36,0,B,Broker,876.14,889.36,61.33,131.42,111.43,280366,0.0,0,0.997,1.0,12,0,0,0,0.0821,New,0.0,1,1,High,280366,2000,4,1,Credit Card,3,Aggregator,4,353254,154541,698
500033,CUST000033,2021,2021-01-13,2021-04-30,Rental,TX,A,77001,48.65,N,Standard,Masonry,Shingle,1189,2,19,1,47,0,C,Broker,715.38,650.2,50.08,107.31,104.19,146837,16685.4,1,0.462,0.5,6,0,0,0,0.0953,New,14845.4,1,1,Middle,146837,2000,3,1,Credit Card,4,Agent Referral,6,177123,64975,633
500034,CUST000034,2021,2021-02-05,2021-06-30,Condo,FL,B,33301,51.82,Y,Premium,Mixed,Metal,1042,1,53,1,68,1,C,Broker,1914.16,1977.5,162.7,287.12,158.14,249105,0.0,0,1.038,1.0,12,0,0,0,0.0423,New,0.0,1,1,Low,249105,1500,4,0,Bank Transfer,3,Agent Referral,12,235538,29492,645
500035,CUST000035,2021,2021-01-25,2021-04-30,Home,NY,B,11201,29.86,N,Basic,Mixed,Tile,1403,2,33,1,59,1,D,Independent,2605.39,2373.09,182.38,312.65,189.24,585242,0.0,0,0.927,1.0,12,0,0,1,0.0588,New,0.0,1,1,Middle,585242,1500,4,0,Debit Card,5,Agent Referral,12,822575,53005,614
500036,CUST000036,2021,2021-07-20,2021-07-31,Home,FL,A,33101,51.24,N,Standard,Masonry,Metal,1625,3,42,1,46,0,C,Independent,1834.82,1955.55,155.96,220.18,154.57,258528,0.0,0,1.05,1.0,12,1,0,0,0.0657,New,0.0,0,1,Low,258528,1000,4,0,Auto Debit,1,Online Search,14,304792,47178,657
500037,CUST000037,2021,2021-12-23,2022-09-30,Home,TX,C,78701,35.36,Y,Premium,Mixed,Shingle,2095,2,12,1,57,0,B,Online,1137.17,1093.08,79.6,22.74,123.17,346894,22425.02,1,0.939,1.0,12,0,1,0,0.1588,New,20585.02,0,1,Low,346894,2000,4,0,Credit Card,1,Partner Referral,6,342108,47601,719
500038,CUST000038,2021,2021-06-08,2021-07-31,Home,CA,A,95814,57.02,Y,Basic,Masonry,Shingle,2656,2,50,0,61,0,B,Independent,4981.7,4526.09,348.72,597.8,296.18,915155,16559.86,1,0.946,1.0,12,1,1,0,0.0855,New,15179.86,0,1,Middle,915155,1500,4,0,Credit Card,2,Online Search,10,1147321,85982,688
500039,CUST000039,2021,2021-11-26,2022-09-30,Rental,FL,C,33101,45.13,Y,Standard,Masonry,Metal,1855,2,9,1,41,1,D,Online,3707.43,3521.5,315.13,74.15,238.83,439910,0.0,0,0.966,1.0,12,0,1,1,0.1046,New,0.0,0,1,Middle,439910,500,4,2,Auto Debit,2,Aggregator,5,452243,51053,577
500040,CUST000040,2021,2021-01-08,2021-02-28,Condo,FL,A,33101,60.19,Y,Basic,Frame,Shingle,1621,1,39,1,41,1,D,Independent,2710.85,2481.76,230.42,325.3,193.99,271164,6628.03,1,0.914,1.0,12,0,0,1,0.0689,New,5708.03,0,1,Low,271164,1000,2,2,Bank Transfer,12,Partner Referral,8,354300,34654,520
500041,CUST000041,2021,2021-07-13,2022-02-28,Home,WA,C,99201,35.34,Y,Basic,Frame,Shingle,2525,1,17,0,81,0,C,Independent,3072.81,2841.29,215.1,368.74,210.28,728752,0.0,0,0.947,1.0,12,1,0,0,0.0509,New,0.0,1,1,Middle,728752,1000,3,2,Credit Card,1,Online Search,13,916883,51419,640
500042,CUST000042,2021,2021-06-27,2021-06-30,Condo,CA,A,94105,61.11,N,Standard,Frame,Shingle,1475,1,14,1,47,1,B,Independent,2944.97,2918.81,206.15,353.4,204.52,511777,8733.7,1,0.51,0.5,6,1,0,0,0.0534,New,8273.7,0,1,Upper Middle,511777,500,3,0,Bank Transfer,2,Partner Referral,14,591797,108478,688
500043,CUST000043,2021,2021-03-09,2021-07-31,Condo,CA,B,92101,41.51,Y,Basic,Masonry,Shingle,1278,1,34,0,60,0,A,Independent,2006.65,1991.05,140.47,240.8,162.3,437657,34006.9,1,0.975,1.0,12,0,0,0,0.0842,New,31706.9,0,1,Upper Middle,437657,2500,4,2,Bank Transfer,5,Partner Referral,8,559485,99120,805
500044,CUST000044,2021,2021-11-12,2021-11-30,Condo,FL,B,33601,40.36,N,Premium,Masonry,Metal,1535,1,6,0,62,2,B,Independent,2033.36,1969.36,172.84,244.0,163.5,368809,0.0,0,0.984,1.0,12,0,1,0,0.1205,New,0.0,1,1,High,368809,2000,5,0,Debit Card,6,Social Media,10,380762,157404,704
500045,CUST000045,2021,2021-02-07,2021-11-30,Rental,NY,C,10001,41.22,Y,Basic,Mixed,Tile,2022,2,35,0,48,0,A,Independent,2552.22,2614.59,178.66,306.27,186.85,745309,0.0,0,0.992,1.0,12,0,1,0,0.1106,New,0.0,1,1,Upper Middle,745309,2000,5,0,Auto Debit,1,Partner Referral,8,963185,130255,766
500046,CUST000046,2021,2021-08-09,2022-02-28,Rental,CA,A,94105,57.26,N,Standard,Frame,Tile,1688,2,39,1,52,0,A,Online,2730.95,2547.01,191.17,54.62,194.89,541540,0.0,0,0.955,1.0,12,1,0,0,0.0781,New,0.0,1,1,Low,541540,1500,5,0,Auto Debit,1,Agent Referral,7,654536,47508,758
500047,CUST000047,2021,2021-04-10,2021-06-30,Home,NY,C,11201,36.73,Y,Standard,Masonry,Shingle,1364,2,30,0,50,1,C,Independent,2823.37,3138.27,197.64,338.8,199.05,659933,0.0,0,0.556,0.5,6,0,1,0,0.1089,New,0.0,1,1,Middle,659933,1000,4,0,Bank Transfer,4,Email Campaign,4,682800,72405,662
500048,CUST000048,2021,2021-01-12,2021-05-31,Condo,NY,A,10001,38.9,N,Basic,Frame,Shingle,1138,1,23,0,57,1,D,Broker,2058.39,1918.83,144.09,308.76,164.63,384475,0.0,0,0.929,1.0,12,0,1,1,0.0877,New,0.0,1,1,Low,384475,1000,4,0,Auto Debit,2,Social Media,12,511305,46500,578
500049,CUST000049,2021,2021-04-24,2021-04-30,Home,FL,A,33101,40.37,Y,Basic,Masonry,Tile,1871,2,12,0,64,0,A,Online,1627.69,1642.67,138.35,32.55,145.25,348227,0.0,0,1.018,1.0,12,0,1,0,0.1014,New,0.0,1,1,Upper Middle,348227,1000,5,1,Auto Debit,2,Online Search,2,451245,98757,730
500050,CUST000050,2021,2021-01-20,2021-08-31,Home,WA,C,98101,21.31,N,Premium,Masonry,Tile,2048,1,19,0,45,0,C,Broker,1929.78,2027.54,135.08,289.47,158.84,585546,0.0,0,1.048,1.0,12,0,1,0,0.1025,New,0.0,1,1,Upper Middle,585546,1000,4,0,Auto Debit,1,Online Search,8,622492,102022,651
500051,CUST000051,2021,2021-04-13,2021-12-31,Home,NY,C,10001,29.05,Y,Basic,Frame,Shingle,2277,2,0,1,35,1,C,Direct,4310.79,4059.4,301.75,129.32,265.99,1122869,0.0,0,0.912,1.0,12,0,0,0,0.0966,New,0.0,1,1,Upper Middle,1122869,2500,4,0,Debit Card,1,Partner Referral,4,1411660,126308,679
500052,CUST000052,2021,2021-09-26,2022-04-30,Home,TX,A,78701,50.11,N,Basic,Masonry,Shingle,2234,1,27,1,36,0,D,Independent,1301.08,1255.31,91.08,156.13,130.55,224331,24267.3,1,0.474,0.5,6,1,1,1,0.0914,New,23807.3,0,1,Middle,224331,500,2,0,Auto Debit,4,Agent Referral,10,333306,61692,594
500053,CUST000053,2021,2021-01-26,2021-05-31,Home,FL,B,32801,51.54,Y,Standard,Mixed,Metal,1631,1,40,0,47,0,A,Online,2052.89,1948.29,174.5,41.06,164.38,421255,0.0,0,0.953,1.0,12,0,1,0,0.1596,New,0.0,1,1,High,421255,2500,4,0,Auto Debit,1,Social Media,6,432854,214873,756
500054,CUST000054,2021,2021-04-04,2021-11-30,Condo,TX,D,73301,29.71,Y,Standard,Masonry,Tile,1399,1,19,0,30,0,C,Direct,830.9,877.26,58.16,24.93,109.39,209951,11459.38,1,1.026,1.0,12,0,1,0,0.1508,New,9619.38,1,1,Middle,209951,2000,4,0,Credit Card,0,Social Media,4,214788,77915,671
500055,CUST000055,2021,2021-11-18,2022-03-31,Home,TX,D,78701,34.56,Y,Standard,Frame,Shingle,1187,2,30,1,43,0,C,Independent,831.73,827.78,58.22,99.81,109.43,180084,0.0,0,0.976,1.0,12,0,0,0,0.0404,New,0.0,1,1,Low,180084,1000,4,0,Auto Debit,0,Social Media,12,180918,30966,629
500056,CUST000056,2021,2021-10-01,2021-10-31,Home,NY,A,12207,39.27,N,Basic,Masonry,Tile,2985,3,34,0,39,0,B,Direct,3712.44,3673.7,259.87,111.37,239.06,1062526,0.0,0,0.982,1.0,12,0,0,0,0.0719,New,0.0,1,1,Upper Middle,1062526,1000,5,0,Debit Card,3,Aggregator,3,1561216,115549,697
500057,CUST000057,2021,2021-08-10,2022-06-30,Condo,CA,A,94105,51.21,N,Standard,Frame,Metal,1599,1,19,1,52,0,C,Broker,2874.08,2901.55,201.19,431.11,201.33,534738,0.0,0,0.489,0.5,6,1,0,0,0.0653,New,0.0,1,1,Middle,534738,1000,4,0,Debit Card,1,Social Media,10,633536,70946,624
500058,CUST000058,2021,2021-10-01,2021-12-31,Home,CA,A,95814,44.23,Y,Premium,Masonry,Tile,2343,2,18,0,31,0,A,Online,3391.4,3307.53,237.4,67.83,224.61,964336,0.0,0,0.976,1.0,12,0,1,0,0.1355,New,0.0,1,1,High,964336,2000,5,0,Auto Debit,0,Social Media,9,884176,160722,798
500059,CUST000059,2021,2021-11-05,2022-03-31,Home,WA,B,98004,27.36,N,Basic,Frame,Tile,2321,1,25,1,60,0,D,Online,2094.68,1977.79,146.63,41.89,166.26,514008,0.0,0,0.955,1.0,12,0,1,0,0.1172,New,0.0,1,1,Upper Middle,514008,1000,4,1,Credit Card,6,Aggregator,4,766107,96596,610
500060,CUST000060,2021,2021-08-20,2022-03-31,Home,WA,C,98101,26.03,Y,Premium,Masonry,Shingle,1247,1,34,1,69,0,D,Online,2060.72,2042.2,144.25,41.21,164.73,488346,0.0,0,0.99,1.0,12,1,1,0,0.153,New,0.0,1,1,Low,488346,2000,5,1,Debit Card,4,Agent Referral,10,433549,45155,619
500061,CUST000061,2021,2021-11-15,2021-11-30,Rental,FL,A,33101,61.26,N,Premium,Frame,Tile,2022,1,33,1,42,0,B,Independent,2990.22,2873.3,254.17,358.83,206.56,398254,21260.19,1,0.969,1.0,12,0,0,0,0.0536,New,20340.19,1,1,High,398254,1000,4,0,Auto Debit,0,Partner Referral,7,418259,171943,709
500062,CUST000062,2021,2021-04-14,2022-01-31,Home,FL,A,33301,45.44,Y,Standard,Masonry,Metal,1970,2,17,1,26,1,C,Online,3116.77,3127.17,264.93,62.34,212.25,468772,0.0,0,0.499,0.5,6,0,0,0,0.1182,New,0.0,0,1,Upper Middle,468772,2500,3,0,Bank Transfer,0,Aggregator,5,485962,96676,644
500063,CUST000063,2021,2021-07-13,2022-02-28,Condo,NY,D,11201,23.41,N,Premium,Mixed,Tile,1498,2,22,1,33,0,B,Direct,2025.17,1903.17,141.76,60.76,163.13,631107,0.0,0,0.465,0.5,6,1,0,0,0.0858,New,0.0,1,1,Middle,631107,1000,4,0,Debit Card,2,Agent Referral,7,682566,79818,706
500064,CUST000064,2021,2021-02-16,2021-11-30,Home,FL,B,32801,38.91,Y,Basic,Masonry,Tile,2866,1,22,1,23,0,C,Broker,3795.2,3704.41,322.59,569.28,242.78,598377,57517.95,1,1.009,1.0,12,0,0,0,0.0534,New,57057.95,1,1,Upper Middle,598377,500,4,0,Bank Transfer,0,Agent Referral,5,755956,100456,637
500065,CUST000065,2021,2021-12-09,2022-06-30,Rental,CA,D,94105,61.51,Y,Basic,Frame,Shingle,1971,2,57,1,55,0,C,Direct,4923.6,4887.01,344.65,147.71,293.56,668701,19984.18,1,0.969,1.0,12,0,0,1,0.0621,New,18604.18,1,1,Middle,668701,1500,4,1,Auto Debit,3,Online Search,4,868205,74000,657
500066,CUST000066,2021,2021-10-22,2021-11-30,Home,FL,D,32801,34.69,N,Basic,Masonry,Shingle,2052,1,16,1,42,0,D,Online,2363.75,2473.88,200.92,47.28,178.37,324102,0.0,0,1.05,1.0,12,0,0,0,0.1131,New,0.0,1,1,Low,324102,2000,4,0,Auto Debit,1,Online Search,4,484106,28342,556
500067,CUST000067,2021,2021-01-01,2021-07-31,Home,TX,D,79901,25.76,Y,Basic,Masonry,Tile,1581,2,21,0,73,1,D,Broker,872.52,878.22,61.08,130.88,111.26,177793,0.0,0,0.999,1.0,12,0,0,1,0.09,New,0.0,1,1,Low,177793,2000,4,0,Debit Card,3,Online Search,8,220708,44385,527
500068,CUST000068,2021,2021-06-11,2022-01-31,Condo,TX,D,73301,35.9,Y,Standard,Mixed,Shingle,1499,1,36,1,61,0,B,Online,847.99,792.14,59.36,16.96,110.16,210750,15930.84,1,0.94,1.0,12,1,1,0,0.1169,New,15010.84,0,1,Upper Middle,210750,1000,3,0,Credit Card,0,Aggregator,5,224882,103021,704
500069,CUST000069,2021,2021-05-06,2021-05-31,Home,TX,D,78701,43.54,Y,Premium,Mixed,Shingle,1993,3,18,1,25,0,B,Independent,1342.11,1295.07,93.95,161.05,132.39,305193,0.0,0,0.966,1.0,12,0,0,0,0.0551,New,0.0,1,1,Upper Middle,305193,500,5,0,Bank Transfer,0,Social Media,10,278806,105241,682
500070,CUST000070,2021,2021-09-26,2021-12-31,Home,NY,B,14604,22.29,N,Basic,Masonry,Metal,2504,2,24,1,38,0,B,Broker,2171.07,2097.49,151.98,325.66,169.7,787118,95720.33,1,0.947,1.0,12,1,1,0,0.1331,New,91120.33,0,1,Low,787118,5000,3,0,Auto Debit,1,Agent Referral,5,1137052,28711,698
500071,CUST000071,2021,2021-08-16,2022-04-30,Home,CA,D,94105,47.72,Y,Standard,Frame,Shingle,1973,1,17,1,42,0,B,Independent,4474.47,4321.38,313.21,536.94,273.35,873763,0.0,0,0.943,1.0,12,1,0,0,0.0732,New,0.0,1,1,Low,873763,2000,5,0,Credit Card,1,Agent Referral,11,900886,47705,687
